area,auv_count,utility,w1,w2,w3
10000,3,1.2926187064810342,4.0,4.0,2.0
10000,4,1.302075784409307,10.0,0.0,0.0
10000,5,1.7948879050803273,4.0,4.0,2.0
10000,6,1.4584854079569138,6.0,4.0,0.0
20000,3,1.6192029220221176,8.0,2.0,0.0
20000,4,1.6025433435238945,10.0,0.0,0.0
20000,5,1.3204534145339424,6.0,2.0,2.0
20000,6,1.459744780452208,4.0,4.0,2.0
30000,3,1.6042588308321828,6.0,2.0,2.0
30000,4,1.383728623369255,6.0,4.0,0.0
30000,5,1.2976225105911254,10.0,0.0,0.0
30000,6,1.441803565348443,10.0,0.0,0.0
40000,3,1.5215402728496823,4.0,4.0,2.0
40000,4,1.663941154567545,10.0,0.0,0.0
40000,5,1.514209247724691,10.0,0.0,0.0
40000,6,1.6682994219906258,8.0,2.0,0.0
50000,3,1.6014096477022897,6.0,2.0,2.0
50000,4,1.7121519882274554,4.0,4.0,2.0
50000,5,1.7000486802865122,4.0,4.0,2.0
50000,6,1.5993357683517646,4.0,4.0,2.0
60000,3,1.717470111495202,8.0,2.0,0.0
60000,4,1.9321096031933,6.0,2.0,2.0
60000,5,1.7217944683084063,6.0,4.0,0.0
60000,6,1.5740460012053117,6.0,2.0,2.0
